TRADE_DATE,PortfolioValue,CashBalance,PortfolioIndex,DailyReturn
2024-12-31,100.000000,1.337955,100.000000,
2025-01-02,100.125514,1.337955,100.125514,0.001255
2025-01-03,98.708303,1.337955,98.708303,-0.014154
2025-01-06,97.994769,1.337955,97.994769,-0.007229
2025-01-07,97.965816,1.337955,97.965816,-0.000295
2025-01-08,98.355081,1.337955,98.355081,0.003973
2025-01-09,97.906062,1.337955,97.906062,-0.004565
2025-01-10,96.607767,1.337955,96.607767,-0.013261
2025-01-13,97.151085,1.337955,97.151085,0.005624
2025-01-14,96.527918,1.337955,96.527918,-0.006414
2025-01-15,96.891881,1.337955,96.891881,0.003771
2025-01-16,97.423330,1.337955,97.423330,0.005485
2025-01-17,98.012261,1.337955,98.012261,0.006045
2025-01-20,98.035799,1.337955,98.035799,0.000240
2025-01-21,97.866213,1.337955,97.866213,-0.001730
2025-01-22,97.599171,1.337955,97.599171,-0.002729
2025-01-23,99.230668,1.337955,99.230668,0.016716
2025-01-24,99.736988,1.337955,99.736988,0.005102
2025-02-03,98.596623,1.337955,98.596623,-0.011434
2025-02-04,99.507038,1.337955,99.507038,0.009234
2025-02-05,99.741180,1.337955,99.741180,0.002353
2025-02-06,99.772178,1.337955,99.772178,0.000311
2025-02-07,100.043989,1.337955,100.043989,0.002724
2025-02-10,98.897092,1.337955,98.897092,-0.011464
2025-02-11,99.208409,1.337955,99.208409,0.003148
2025-02-12,98.945827,1.337955,98.945827,-0.002647
2025-02-13,98.958653,1.337955,98.958653,0.000130
2025-02-14,99.292019,1.337955,99.292019,0.003369
2025-02-17,98.764094,1.337955,98.764094,-0.005317
2025-02-18,99.079485,1.337955,99.079485,0.003193
2025-02-19,99.977735,1.337955,99.977735,0.009066
2025-02-20,100.349536,1.337955,100.349536,0.003719
2025-02-21,100.645393,1.337955,100.645393,0.002948
2025-02-24,101.309836,1.337955,101.309836,0.006602
2025-02-25,101.114773,1.337955,101.114773,-0.001925
2025-02-26,101.050190,1.337955,101.050190,-0.000639
2025-02-27,101.574873,1.337955,101.574873,0.005192
2025-02-28,101.291448,1.337955,101.291448,-0.002790
2025-03-03,101.612736,1.337955,101.612736,0.003172
2025-03-04,101.933584,1.337955,101.933584,0.003158
2025-03-05,101.271750,1.337955,101.271750,-0.006493
2025-03-06,102.617868,1.337955,102.617868,0.013292
2025-03-07,103.257726,1.337955,103.257726,0.006235
2025-03-10,103.358433,1.337955,103.358433,0.000975
2025-03-11,103.612476,17.219422,103.612476,0.002458
2025-03-12,103.805277,17.219422,103.805277,0.001861
2025-03-13,103.481345,17.219422,103.481345,-0.003121
2025-03-14,103.693012,17.219422,103.693012,0.002045
2025-03-17,104.417155,17.219422,104.417155,0.006984
2025-03-18,103.691081,17.219422,103.691081,-0.006954
2025-03-19,103.075914,17.219422,103.075914,-0.005933
2025-03-20,103.255974,17.219422,103.255974,0.001747
2025-03-21,103.380882,17.219422,103.380882,0.001210
2025-03-24,104.611104,17.219422,104.611104,0.011900
2025-03-25,104.734391,17.219422,104.734391,0.001179
