TRADE_DATE,PortfolioValue,CashBalance,PortfolioIndex,DailyReturn
2024-12-31,100.000000,0.427607,100.000000,
2025-01-02,100.136651,0.427607,100.136651,0.001367
2025-01-03,98.728696,0.427607,98.728696,-0.014060
2025-01-06,97.941992,0.427607,97.941992,-0.007968
2025-01-07,97.874250,0.427607,97.874250,-0.000692
2025-01-08,98.286051,0.427607,98.286051,0.004207
2025-01-09,97.831953,0.427607,97.831953,-0.004620
2025-01-10,96.479968,0.427607,96.479968,-0.013819
2025-01-13,97.081785,0.427607,97.081785,0.006238
2025-01-14,96.489325,0.427607,96.489325,-0.006103
2025-01-15,96.889127,0.427607,96.889127,0.004143
2025-01-16,97.370764,0.427607,97.370764,0.004971
2025-01-17,97.935010,0.427607,97.935010,0.005795
2025-01-20,98.017933,0.427607,98.017933,0.000847
2025-01-21,97.812141,0.427607,97.812141,-0.002100
2025-01-22,97.520196,0.427607,97.520196,-0.002985
2025-01-23,99.131612,0.427607,99.131612,0.016524
2025-01-24,99.629672,0.427607,99.629672,0.005024
2025-02-03,98.469124,0.427607,98.469124,-0.011649
2025-02-04,99.415936,0.427607,99.415936,0.009615
2025-02-05,99.691598,0.427607,99.691598,0.002773
2025-02-06,99.706769,0.427607,99.706769,0.000152
2025-02-07,99.936443,0.427607,99.936443,0.002303
2025-02-10,98.811039,0.427607,98.811039,-0.011261
2025-02-11,99.143267,0.427607,99.143267,0.003362
2025-02-12,98.880118,0.427607,98.880118,-0.002654
2025-02-13,98.918041,0.427607,98.918041,0.000384
2025-02-14,99.254530,0.427607,99.254530,0.003402
2025-02-17,98.717332,0.427607,98.717332,-0.005412
2025-02-18,99.037017,0.427607,99.037017,0.003238
2025-02-19,99.949529,0.427607,99.949529,0.009214
2025-02-20,100.303412,0.427607,100.303412,0.003541
2025-02-21,100.588441,0.427607,100.588441,0.002842
2025-02-24,101.244619,0.427607,101.244619,0.006523
2025-02-25,101.059225,0.427607,101.059225,-0.001831
2025-02-26,100.981251,0.427607,100.981251,-0.000772
2025-02-27,101.514271,0.427607,101.514271,0.005278
2025-02-28,101.234061,0.427607,101.234061,-0.002760
2025-03-03,101.544487,0.427607,101.544487,0.003066
2025-03-04,101.864107,0.427607,101.864107,0.003148
2025-03-05,101.162024,0.427607,101.162024,-0.006892
2025-03-06,102.471446,0.427607,102.471446,0.012944
2025-03-07,103.083275,0.427607,103.083275,0.005971
2025-03-10,103.169032,0.427607,103.169032,0.000832
2025-03-11,101.907918,6.284591,101.907918,-0.012224
2025-03-12,102.112678,6.284591,102.112678,0.002009
2025-03-13,101.751658,6.284591,101.751658,-0.003535
2025-03-14,101.986587,6.284591,101.986587,0.002309
2025-03-17,102.795313,6.284591,102.795313,0.007930
2025-03-18,101.993984,6.284591,101.993984,-0.007795
2025-03-19,101.307747,6.284591,101.307747,-0.006728
2025-03-20,101.450997,6.284591,101.450997,0.001414
2025-03-21,101.559226,6.284591,101.559226,0.001067
2025-03-24,102.890360,6.284591,102.890360,0.013107
2025-03-25,103.044371,6.284591,103.044371,0.001497
2025-03-26,102.802295,6.284591,102.802295,-0.002349
2025-03-27,102.604444,6.284591,102.604444,-0.001925
2025-03-28,102.228745,6.284591,102.228745,-0.003662
2025-03-31,101.558942,0.505061,101.558942,-0.006552
2025-04-01,102.260359,0.505061,102.260359,0.006907
2025-04-02,102.126859,0.505061,102.126859,-0.001305
2025-04-03,94.872411,0.505061,94.872411,-0.071034
2025-04-04,92.917672,0.505061,92.917672,-0.020604
2025-04-08,86.377901,0.505061,86.377901,-0.070382
2025-04-09,82.620598,0.505061,82.620598,-0.043498
2025-04-10,88.452213,0.505061,88.452213,0.070583
2025-04-11,93.233434,0.505061,93.233434,0.054054
2025-04-14,94.934328,0.505061,94.934328,0.018243
2025-04-15,93.756020,0.505061,93.756020,-0.012412
2025-04-16,92.521745,0.505061,92.521745,-0.013165
2025-04-17,92.768020,0.505061,92.768020,0.002662
2025-04-18,93.202484,0.505061,93.202484,0.004683
2025-04-21,92.667033,0.505061,92.667033,-0.005745
2025-04-22,92.333723,0.505061,92.333723,-0.003597
2025-04-23,93.640144,0.505061,93.640144,0.014149
2025-04-24,94.277924,0.505061,94.277924,0.006811
2025-04-25,94.413820,0.505061,94.413820,0.001441
2025-04-28,93.957073,0.505061,93.957073,-0.004838
2025-04-29,94.072058,0.505061,94.072058,0.001224
2025-05-05,94.849642,0.505061,94.849642,0.008266
2025-05-06,95.071605,0.505061,95.071605,0.002340
2025-05-07,95.525371,0.505061,95.525371,0.004773
2025-05-08,96.529520,0.505061,96.529520,0.010512
